x,y
0.019,1.3275546919762506
0.029,1.1797919786016822
0.03,1.6095017821415059
0.038,1.7106004081974544
0.04,1.2971767428165828
0.095,1.619754938723507
0.095,1.619754938723507
0.10200000000000001,1.8500900002696614
0.10200000000000001,1.8500900002696614
0.10300000000000001,1.331616452161002
0.12,1.4017684351809394
0.166,1.5597061483414478
0.166,1.5597061483414478
0.171,1.5032866104241074
0.179,1.7405355739227155
0.189,1.7940102988092106
0.192,1.5302974593363379
0.196,1.2587741271213955
0.20800000000000002,1.5963771934627449
0.21,1.5754381885007842
0.21,1.5754381885007842
0.211,1.5269214455587627
0.229,1.836366117404479
0.275,1.491815530733696
0.299,1.659213528861833
0.3,1.4309293452546237
0.312,1.672877423363163
0.323,1.3924202880598973
0.34700000000000003,1.6041956109386646
0.362,1.674742753214914
0.397,1.8781024147592171
0.40700000000000003,1.899689245834001
0.42,1.8963102202930475
0.436,1.4936077747973187
0.447,1.823102560709858
0.464,1.821718414592428
0.47500000000000003,1.5841270706758446
0.481,1.8342639112576782
0.491,1.8932057581843043
0.491,1.8932057581843043
0.504,1.8533664651055786
0.511,1.9757426216834606
0.517,1.6071608681318434
0.533,1.6762371511572247
0.542,1.966494157511616
0.552,1.9537432758985127
0.562,1.7507363094429167
0.5720000000000001,1.9881437903001762
0.583,1.6103336024822548
0.585,2.0193442109441935
0.587,1.9277052654976357
0.598,1.9920742969445424
0.598,1.9920742969445424
0.611,2.1336650039493765
0.614,2.0292701790333587
0.632,1.5583584504520291
0.651,1.9777993960171338
0.656,1.9714246504712436
0.6940000000000001,1.8402242406492813
0.6950000000000001,1.7983674755007168
0.6980000000000001,1.9542732669952478
0.7020000000000001,1.9742760144395306
0.7030000000000001,2.032542886190352
0.718,1.8336637583067126
0.72,2.740280808753193
0.724,2.048337382607221
0.725,2.0203070041330156
0.728,1.753557754573538
0.735,1.9541357950680256
0.738,2.0612234364988513
0.764,2.1677159506862025
0.783,1.7016883239956182
0.784,2.3656364680109268
0.786,2.2514901113352637
0.799,2.1869321796234895
0.808,2.016413625697628
0.8270000000000001,1.9706101619049394
0.833,1.82078981631061
0.846,2.1994405841680935
0.847,1.9249790499225583
0.854,1.8630858160768418
0.865,2.194883484719807
0.867,1.9056841867495256
0.869,2.678978629159219
0.871,1.6924730762973101
0.879,1.986943546813212
0.892,2.4905520828570546
0.894,2.0886782004346958
0.9,2.219045479886455
0.901,2.4082335438737985
0.903,2.1350011429673486
0.907,1.7463045813889084
0.912,2.236759256145727
0.918,2.6026393461652453
0.918,2.6026393461652453
0.9520000000000001,2.1727787952081137
0.964,2.1271227053339645
0.966,2.7775959489219444
0.967,2.2745572760558823
1.0110000000000001,2.201753661090738
1.012,2.4425630370356037
1.027,2.119854033909874
1.029,2.0246116592343397
1.032,2.3873268937784133
1.039,2.642826847265717
1.058,1.8933611073653287
1.07,2.4665818695013195
1.077,2.4995294479052035
1.078,2.3372886263094212
1.109,2.407673683084268
1.111,2.091043812968043
1.112,2.4620780242888567
1.123,2.103828681979904
1.1500000000000001,2.211318645750741
1.171,2.348916583407211
1.191,2.585040840202413
1.192,2.386823798364406
1.194,2.7093893673185034
1.203,2.515190283010186
1.206,2.621108136116602
1.219,2.2662546594084163
1.231,2.707031837207068
1.24,2.171072948248905
1.2530000000000001,2.32690285133913
1.274,3.052373926581706
1.3,2.21548031837442
1.3820000000000001,2.6997334110907567
1.407,2.4377885771668857
1.412,2.5640439680226743
1.424,2.9171931197427767
1.439,2.504181847872851
1.474,2.4841050319011218
1.48,2.637091034952194
1.485,3.012560762685491
1.488,2.5334198611844063
1.489,2.5337353231141915
1.5010000000000001,2.5232451181321642
1.5070000000000001,2.690153400554335
1.5150000000000001,2.146259357309052
1.5250000000000001,3.0474643806975545
1.543,2.521274867620675
1.545,2.364917949309036
1.551,2.920167473916114
1.578,2.2036245333371918
1.585,3.10839479941142
1.596,2.7107518261001684
1.605,3.3090428670841576
1.611,2.75735807083753
1.622,3.5748103073653796
1.6360000000000001,3.3508882811310188
1.661,2.910575577619031
1.6640000000000001,3.0092695063869233
1.6640000000000001,3.0092695063869233
1.687,2.8164224067863004
1.7,3.360493557696305
1.711,3.004452115274666
1.7570000000000001,2.7759337905308255
1.7790000000000001,3.1306002431245443
1.794,2.507599980413972
1.807,3.024516020195184
1.817,2.6853064758074945
1.832,3.053957800028975
1.838,2.9772056300146748
1.84,3.4905849177420567
1.85,3.439899525721814
1.887,3.4031489325640667
1.889,3.403016564365397
1.8980000000000001,2.9380187397727444
1.9060000000000001,3.1880937190635685
1.907,2.941576724129843
1.932,2.8513690337647692
1.935,3.963017087031284
1.943,3.284896293447083
1.951,3.727033099864338
1.963,3.6018449594786373
1.976,3.1464140807217302
1.983,3.574931338668325
1.998,3.3238570018257385
2.003,3.65920372758007
2.004,3.0426784579120163
2.019,4.077146162702286
2.024,3.095248926424534
2.061,3.6696083066148057
2.073,3.4197210559273232
2.083,3.851985312224759
2.09,4.068091085866324
2.09,4.068091085866324
2.097,3.7620524943142675
2.099,3.4129635451988345
2.101,3.404767926655747
2.101,3.404767926655747
2.107,3.9190593365105104
2.1270000000000002,3.399432026197145
2.138,3.432153943561224
2.1390000000000002,3.608102647074395
2.165,3.500107212194644
2.188,3.6207226318004446
2.197,3.1672889589984607
2.204,3.9355765478539797
2.207,3.4188386157344657
2.218,3.4371754259290723
2.237,4.176932660639476
2.239,3.8550879421598205
2.241,3.9216456133197393
2.261,3.4107453422461016
2.2640000000000002,3.8982197446887774
2.274,3.5476425611984967
2.275,4.352871416163648
2.281,3.145097629132646
2.291,4.513950817186797
2.323,3.8730364637913075
2.347,3.8420459582449555
2.383,3.8787256533581664
2.411,3.862126792694063
2.416,4.0346700801247515
2.4290000000000003,4.120909711687454
2.43,3.5756015484428634
2.444,4.475545349590056
2.447,3.5567193601025844
2.452,4.609909607388409
2.46,3.9464492992710696
2.47,4.007213879275676
2.471,4.323402097163618
2.476,4.204514975504059
2.495,3.7519596096421046
2.507,4.473398119660293
2.508,3.5437800233521717
2.5180000000000002,3.7111876032952145
2.539,4.896510093824763
2.5580000000000003,4.430722649492244
2.567,4.155693018932266
2.58,3.6958048348873236
2.592,4.317267083734433
2.598,4.320667510906943
2.608,3.2113398080089604
2.614,4.19766403193955
2.617,4.14494580898387
2.626,3.9530883972856405
2.634,4.123797285377349
2.6390000000000002,4.061778905176924
2.641,4.38447336632368
2.645,4.331534246971226
2.6550000000000002,4.197152459830662
2.6630000000000003,3.655266764686584
2.666,4.177568947482029
2.678,3.955802066713012
2.6870000000000003,4.261245776213503
2.708,4.626347185615655
2.71,4.8795124474095575
2.732,4.559751722631305
2.742,4.5174966754451855
2.747,4.267658732830024
2.765,4.632798583742498
2.767,4.9713481782763544
2.771,5.242519245407821
2.7720000000000002,5.053105630898932
2.775,4.258370239640062
2.791,4.106096276975228
2.791,4.106096276975228
2.818,4.2417027933789475
2.83,4.559503180020016
2.835,4.490413576943359
2.84,4.821195925861999
2.849,3.7403796586683553
2.85,5.096120175416667
2.852,4.508566884927524
2.859,4.081123091247615
2.8770000000000002,4.611026461067276
2.888,5.656327870158642
2.89,4.610448450323774
